BASE_DATE,IR_CURVE_ID,MAT_CD,INT_RATE
20170828,A100,M0018,0.0164
20170828,A100,M0024,0.0171
20170828,A100,M0030,0.0177
20170828,A100,M0036,0.0181
20170828,A100,M0048,0.0191
20170828,A100,M0060,0.0201
20170828,A100,M0084,0.0215
20170828,A100,M0120,0.0227
20170828,A100,M0240,0.0235
20170828,E110,M0003,0.013
20170828,E110,M0006,0.0138
20170828,E110,M0009,0.0152
20170828,E110,M0012,0.016
20170828,E110,M0018,0.017
20170828,E110,M0024,0.018
20170828,E110,M0030,0.0184
20170828,E110,M0036,0.0192
20170828,E110,M0048,0.0202
20170828,E110,M0060,0.0217
20170828,E110,M0084,0.0227
20170828,E110,M0120,0.0239
20170828,E110,M0240,0.0251
20170823,A100,M0003,0.0124
20170823,A100,M0006,0.0132
20170823,A100,M0009,0.0145
20170823,A100,M0012,0.015
20170823,A100,M0018,0.0166
20170823,A100,M0024,0.0174
20170823,A100,M0030,0.0179
20170823,A100,M0036,0.0184
20170823,A100,M0048,0.0195
20170823,A100,M0060,0.0205
20170823,A100,M0084,0.0219
20170823,A100,M0120,0.0231
20170823,A100,M0240,0.0237
20170823,E110,M0003,0.013
20170823,E110,M0006,0.0139
20170823,E110,M0009,0.0153
20170823,E110,M0012,0.0161
20170823,E110,M0018,0.0172
20170823,E110,M0024,0.0182
20170823,E110,M0030,0.0186
20170823,E110,M0036,0.0196
20170823,E110,M0048,0.0205
20170823,E110,M0060,0.022
20170823,E110,M0084,0.0231
20170823,E110,M0120,0.0244
20170823,E110,M0240,0.0254
20170829,A100,M0003,0.0124
20170829,A100,M0006,0.0131
20170829,A100,M0009,0.0144
20170829,A100,M0012,0.0149
20170829,A100,M0018,0.0164
20170829,A100,M0024,0.0171
20170829,A100,M0030,0.0178
20170829,A100,M0036,0.0182
20170829,A100,M0048,0.0192
20170829,A100,M0060,0.0203
20170829,A100,M0084,0.0216
20170829,A100,M0120,0.0227
20170829,A100,M0240,0.0235
20170825,A100,M0003,0.0124
20170825,A100,M0006,0.0131
20170825,A100,M0009,0.0143
20170825,A100,M0012,0.0149
20170825,A100,M0018,0.0163
20170825,A100,M0024,0.017
20170825,A100,M0030,0.0176
20170825,A100,M0036,0.018
20170825,A100,M0048,0.0192
20170825,A100,M0060,0.0201
20170825,A100,M0084,0.0215
20170825,A100,M0120,0.0227
20170825,A100,M0240,0.0235
20170829,E110,M0003,0.013
20170829,E110,M0006,0.0138
20170829,E110,M0009,0.0153
20170829,E110,M0012,0.0161
20170829,E110,M0018,0.0171
20170829,E110,M0024,0.0181
20170829,E110,M0030,0.0184
20170829,E110,M0036,0.0193
20170829,E110,M0048,0.0203
20170829,E110,M0060,0.0218
20170829,E110,M0084,0.0228
20170829,E110,M0120,0.024
20170829,E110,M0240,0.0251
20170825,E110,M0003,0.013
20170825,E110,M0006,0.0138
20170825,E110,M0009,0.0152
20170825,E110,M0012,0.016
20170825,E110,M0018,0.017
20170825,E110,M0024,0.018
20170825,E110,M0030,0.0183
20170825,E110,M0036,0.0192
20170825,E110,M0048,0.0201
20170825,E110,M0060,0.0216
20170825,E110,M0084,0.0227
20170825,E110,M0120,0.024
20170825,E110,M0240,0.0252
20170824,A100,M0003,0.0124
20170824,A100,M0006,0.0132
20170824,A100,M0009,0.0145
20170824,A100,M0012,0.0151
20170824,A100,M0018,0.0166
20170824,A100,M0024,0.0174
20170824,A100,M0030,0.018
20170824,A100,M0036,0.0184
20170824,A100,M0048,0.0195
